Compilation Hierarchy Node,Combinational ALUTs,Dedicated Logic Registers,Memory Bits,DSP Elements,DSP 9x9,DSP 18x18,Pins,Virtual Pins,Full Hierarchy Name,Entity Name,Library Name
                  |lpm_add_sub:adder[7]|,4 (0),0 (0),0,0,0,0,0,0,|try|Datapath:dp|ALUnitHW:alu|lpm_mult:Mult0|multcore:mult_core|mpar_add:padder|lpm_add_sub:adder[7],lpm_add_sub,work
                     |addcore:adder|,4 (0),0 (0),0,0,0,0,0,0,|try|Datapath:dp|ALUnitHW:alu|lpm_mult:Mult0|multcore:mult_core|mpar_add:padder|lpm_add_sub:adder[7]|addcore:adder,addcore,work
                        |a_csnbuffer:result_node|,4 (4),0 (0),0,0,0,0,0,0,|try|Datapath:dp|ALUnitHW:alu|lpm_mult:Mult0|multcore:mult_core|mpar_add:padder|lpm_add_sub:adder[7]|addcore:adder|a_csnbuffer:result_node,a_csnbuffer,work
                  |mpar_add:sub_par_add|,128 (0),0 (0),0,0,0,0,0,0,|try|Datapath:dp|ALUnitHW:alu|lpm_mult:Mult0|multcore:mult_core|mpar_add:padder|mpar_add:sub_par_add,mpar_add,work
                     |lpm_add_sub:adder[0]|,30 (0),0 (0),0,0,0,0,0,0,|try|Datapath:dp|ALUnitHW:alu|lpm_mult:Mult0|multcore:mult_core|mpar_add:padder|mpar_add:sub_par_add|lpm_add_sub:adder[0],lpm_add_sub,work
                        |addcore:adder|,30 (0),0 (0),0,0,0,0,0,0,|try|Datapath:dp|ALUnitHW:alu|lpm_mult:Mult0|multcore:mult_core|mpar_add:padder|mpar_add:sub_par_add|lpm_add_sub:adder[0]|addcore:adder,addcore,work
                           |a_csnbuffer:result_node|,30 (30),0 (0),0,0,0,0,0,0,|try|Datapath:dp|ALUnitHW:alu|lpm_mult:Mult0|multcore:mult_core|mpar_add:padder|mpar_add:sub_par_add|lpm_add_sub:adder[0]|addcore:adder|a_csnbuffer:result_node,a_csnbuffer,work
                     |lpm_add_sub:adder[1]|,22 (0),0 (0),0,0,0,0,0,0,|try|Datapath:dp|ALUnitHW:alu|lpm_mult:Mult0|multcore:mult_core|mpar_add:padder|mpar_add:sub_par_add|lpm_add_sub:adder[1],lpm_add_sub,work
                        |addcore:adder|,22 (0),0 (0),0,0,0,0,0,0,|try|Datapath:dp|ALUnitHW:alu|lpm_mult:Mult0|multcore:mult_core|mpar_add:padder|mpar_add:sub_par_add|lpm_add_sub:adder[1]|addcore:adder,addcore,work
                           |a_csnbuffer:result_node|,22 (22),0 (0),0,0,0,0,0,0,|try|Datapath:dp|ALUnitHW:alu|lpm_mult:Mult0|multcore:mult_core|mpar_add:padder|mpar_add:sub_par_add|lpm_add_sub:adder[1]|addcore:adder|a_csnbuffer:result_node,a_csnbuffer,work
